iso3,year,energy_per_capita,co2,co2_per_capita,life_expectancy,gdp_per_capita,gini,night_lights,electricity_access_pct,life_exp_female,life_exp_male
TEC,2015,,,,,,,,98.33244392,77.59313136,69.25033303
TEC,2020,,,,,,,,99.95209896,77.33389034,69.16830267
TGO,2001,760.455,1.159,0.22,54.7456,2059.105,,,19.6,55.403,54.071
TGO,2005,902.274,1.722,0.295,55.9159,1944.7795,,,26.5,56.508,55.307
TGO,2010,1692.549,2.596,0.386,57.2266,1988.9521,,,30.8,57.547,56.887
TGO,2015,797.569,1.798,0.235,59.2201,2317.5479,0.43028906,46066.9675,44.7,59.498,58.923
TGO,2020,1042.044,2.751,0.317,61.1225,2490.053,,100946.28416666666,54.1,61.445,60.781
THA,2001,12289.004,172.267,2.706,71.5198,11901.318,,,90.4,75.591,67.652
THA,2005,15467.404,214.325,3.246,72.8938,14458.255,,,92.8,76.61,69.343
THA,2010,17198.242,241.019,3.514,75.0117,16730.37,0.3940277,,99.7,78.738,71.434
THA,2015,19526.961,277.099,3.928,76.5631,18811.998,0.35987332,1737820.2750000001,99.6,80.858,72.464
THA,2020,19257.488,271.923,3.796,77.3314,19957.258,0.34985816,2419406.9833333334,100.0,81.904,72.971
TJK,2001,5201.689,2.287,0.357,64.197,1467.3988,,,98.6,66.215,62.166
TJK,2005,5358.06,2.441,0.352,66.5313,1965.3002,,,99.3,69.12,63.983
TJK,2010,3551.308,2.535,0.331,68.3698,2449.2737,,,98.8,71.074,65.663
TJK,2015,3966.005,5.307,0.614,69.6647,3041.4448,0.33995536,175136.58166666667,98.0,72.156,67.155
TJK,2020,4753.322,9.423,0.967,68.6054,3724.749,,312615.8775,99.5,71.088,66.216
TKL,2001,,,,72.4259,,,,,,
TKL,2005,,,,73.342,,,,,,
TKL,2010,,,,74.5103,,,,,,
TKL,2015,,,,75.7071,,,,,,
TKL,2020,,,,76.6217,,,,,,
TKM,2001,32494.137,34.034,7.279,65.3246,5228.803,,,99.6,68.993,61.697
TKM,2005,34686.328,47.929,9.487,66.2747,5945.9526,,,99.5,70.183,62.396
TKM,2010,44347.934,59.184,10.636,68.6078,8842.333,,,100.0,71.844,65.185
TKM,2015,51843.977,63.092,10.15,69.0608,13057.83,,,100.0,72.126,65.692
TKM,2020,63923.691,62.905,9.051,68.8457,15791.178,,,100.0,71.928,65.355
TLA,2001,,,,,,,,92.17949511,74.13937419,67.94029539
TLA,2005,,,,,,,,93.39859198,75.51480568,69.4051959
TLA,2010,,,,,,,,95.80892074,76.3646449,70.25794287
TLA,2015,,,,,,,,97.23239205,77.66844731,71.67535451
TLA,2020,,,,,,,,98.10645325,76.47056492,69.86381479
TLS,2001,,0.119,0.146,58.7722,4040.3945,0.35935292,,25.6,60.355,57.314
TLS,2005,801.11,0.321,0.339,61.2717,3265.505,,,33.5,62.917,59.745
TLS,2010,946.762,0.313,0.289,63.6599,4049.185,,,38.0,65.341,62.115
TLS,2015,1772.985,0.59,0.49,65.3262,4469.936,,9414.49,67.3,67.033,63.758
TLS,2020,1961.299,0.646,0.487,66.9191,6598.0347,,21748.14416666667,96.0,68.871,65.136
TMN,2001,,,,,,,,81.99581077,67.75090606,64.31571749
TMN,2005,,,,,,,,84.80546109,68.80878156,64.97581525
TMN,2010,,,,,,,,89.71863642,70.60344204,66.46254269
TMN,2015,,,,,,,,92.77991064,71.64315869,67.03655366
TMN,2020,,,,,,,,95.88885617,71.56852304,66.66211968
TON,2001,3821.959,0.092,0.887,69.7998,5860.0806,,,86.3,73.792,66.299
TON,2005,4922.548,0.114,1.075,70.56,5828.3706,,,89.0,74.469,67.102
